X,Y,OBJECTID,Offense,OffGen,BeginDate,EndDate,Location,Day
-117.445967018699221,47.667990364976397,1,MALICIOUS MISCHIEF,Malicious Mischief,2015-01-02T03:30:00.000Z,2015-01-02T03:30:00.000Z,2300 Block Of W Boone Av,Sunday
-117.441383086000059,47.673114427860568,2,DRUGS-POSSESS,Drugs,2015-01-02T00:50:00.000Z,2015-01-02T00:50:00.000Z,W Augusta Av,Sunday
-117.442249092870213,47.66713053660974,3,MALICIOUS MISCHIEF,Malicious Mischief,2015-01-02T03:04:00.000Z,2015-01-02T03:04:00.000Z,2000 Block Of W Gardner Av,Sunday
-117.420845833317543,47.659372614099844,4,VEH-THEFT,Vehicle Theft,2015-01-02T06:00:00.000Z,2015-01-02T06:00:00.000Z,200 Block Of N Howard St,Sunday
-117.405899020025473,47.714222011016012,5,VEH-THEFT,Vehicle Theft,2015-01-02T08:10:00.000Z,2015-01-02T08:10:00.000Z,6200 Block Of N Lidgerwood St,Sunday
-117.423572586228588,47.65953939312481,6,THEFT-FROM BUILDING,Theft,2015-01-01T21:30:00.000Z,2015-01-02T10:16:00.000Z,800 Block Of W Main Av,Saturday
-117.360329997128602,47.657018197875736,7,THEFT-FROM BUILDING,Theft,2015-01-02T09:54:00.000Z,2015-01-02T09:54:00.000Z,0 Block Of S Thor St,Sunday
-117.424176828938215,47.688711619824375,8,ASSAULT-SIMPLE,Assault,2015-01-02T07:14:00.000Z,2015-01-02T07:14:00.000Z,800 Block Of W Cora Av,Sunday
-117.403306337551953,47.719182359005785,9,THEFT-FROM BUILDING,Theft,2015-01-02T11:00:00.000Z,2015-01-02T12:30:00.000Z,6900 Block Of N Wiscomb St,Sunday
-117.398911556926464,47.627972210041939,10,THEFT-SHOPLIFTING,Theft,2015-01-02T12:34:00.000Z,2015-01-02T12:40:00.000Z,800 Block Of E 29Th Av,Sunday
-117.395088342953699,47.700820140611576,11,MALICIOUS MISCHIEF,Malicious Mischief,2015-01-02T13:20:00.000Z,2015-01-02T13:20:00.000Z,1000 Block Of E Wellesley Av,Sunday
-117.455416899410594,47.697158538111665,12,BURGLARY-RESIDNTL,Burglary,2015-01-02T12:34:00.000Z,2015-01-02T12:34:00.000Z,3000 Block Of W Longfellow Av,Sunday
-117.41089513912695,47.663181946240115,13,THEFT-FROM BUILDING,Theft,2015-01-01T10:00:00.000Z,2015-01-02T08:00:00.000Z,700 Block Of N Division St,Saturday
-117.405859916833549,47.741352723100775,14,THEFT-FROM BUILDING,Theft,2015-01-02T14:15:00.000Z,2015-01-02T14:19:00.000Z,9200 Block Of N Colton St,Sunday
-117.387667001063633,47.682481244259677,15,VEH-THEFT,Vehicle Theft,2015-01-02T13:40:00.000Z,2015-01-02T13:40:00.000Z,2700 Block Of N Hogan St,Sunday
-117.380827448790527,47.666530365424187,16,VEH-THEFT,Vehicle Theft,2015-01-02T13:50:00.000Z,2015-01-02T13:50:00.000Z,2000 Block Of E Cataldo Av,Sunday
-117.391443567304606,47.614889782598262,17,ASSAULT-SIMPLE,Assault,2015-01-02T15:24:00.000Z,2015-01-02T15:24:00.000Z,1300 Block Of E 43Rd Av,Sunday
-117.365733106565116,47.6125143890497,18,THEFT-SHOPLIFTING,Theft,2015-01-02T15:29:00.000Z,2015-01-02T15:29:00.000Z,4500 Block Of S Regal St,Sunday
-117.425859347088675,47.695463234548143,19,VEH-THEFT,Vehicle Theft,2015-01-02T12:15:00.000Z,2015-01-02T12:15:00.000Z,4100 Block Of N Monroe St,Sunday
-117.409179595079806,47.722986800683699,20,ASSAULT-SIMPLE,Assault,2015-01-02T15:37:00.000Z,2015-01-02T15:37:00.000Z,0 Block Of E Weile Av,Sunday
-117.411159311108804,47.657259674008984,21,MALICIOUS MISCHIEF,Malicious Mischief,2015-01-02T17:30:00.000Z,2015-01-02T17:34:00.000Z,N Division St,Sunday
-117.364889894315681,47.675477993348878,22,VEH-PROWL,Vehicle Prowling,2015-01-02T00:30:00.000Z,2015-01-02T01:00:00.000Z,3100 Block Of E Baldwin Av,Sunday
-117.364889894315681,47.675477993348878,23,MALICIOUS MISCHIEF,Malicious Mischief,2015-01-02T00:30:00.000Z,2015-01-02T01:00:00.000Z,3100 Block Of E Baldwin Av,Sunday
-117.386768319946668,47.69124657755021,24,ASSAULT-SIMPLE,Assault,2015-01-02T15:40:00.000Z,2015-01-02T15:40:00.000Z,1600 Block Of E Gordon Av,Sunday
-117.405859916833549,47.741352723100775,25,VEH-PROWL,Vehicle Prowling,2015-01-02T20:00:00.000Z,2015-01-02T20:00:00.000Z,9200 Block Of N Colton St,Sunday
-117.405859916833549,47.741352723100775,26,MALICIOUS MISCHIEF,Malicious Mischief,2015-01-02T20:00:00.000Z,2015-01-02T20:00:00.000Z,9200 Block Of N Colton St,Sunday
-117.409478145333281,47.7084762370582,27,THEFT-SHOPLIFTING,Theft,2015-01-02T21:00:00.000Z,2015-01-02T21:00:00.000Z,5500 Block Of N Division St,Sunday
-117.450845591140947,47.703499048292031,28,VEH-THEFT,Vehicle Theft,2015-01-02T07:14:00.000Z,2015-01-02T07:14:00.000Z,2700 Block Of W Olympic Av,Sunday
-117.396057051411006,47.671944507618328,29,VEH-PROWL,Vehicle Prowling,2015-01-02T21:08:00.000Z,2015-01-02T21:18:00.000Z,900 Block Of E Mission Av,Sunday
-117.396057051411006,47.671944507618328,30,MALICIOUS MISCHIEF,Malicious Mischief,2015-01-02T21:08:00.000Z,2015-01-02T21:18:00.000Z,900 Block Of E Mission Av,Sunday
-117.408427030926575,47.68244336463237,31,ROBBERY,Robbery,2015-01-02T17:17:00.000Z,2015-01-02T17:17:00.000Z,200 Block Of E North Foothills Dr,Sunday
-117.390746649868049,47.6915644711478,32,BURGLARY-RESIDNTL,Burglary,2015-01-02T10:28:00.000Z,2015-01-02T10:28:00.000Z,1300 Block Of E Kiernan Av,Sunday
-117.404534032173416,47.653267800790523,33,BURGLARY-RESIDNTL,Burglary,2015-01-03T00:35:00.000Z,2015-01-03T00:35:00.000Z,300 Block Of S Grant St,Monday
-117.411113308783925,47.659129835309933,34,ASSAULT-SIMPLE,Assault,2015-01-03T02:22:00.000Z,2015-01-03T02:22:00.000Z,200 Block Of N Division St,Monday
-117.411113308783925,47.659129835309933,35,MALICIOUS MISCHIEF,Malicious Mischief,2015-01-03T02:22:00.000Z,2015-01-03T02:22:00.000Z,200 Block Of N Division St,Monday
-117.428209018631449,47.674943997958671,36,BURGLARY-COMMERCIAL,Burglary,2015-01-03T04:48:00.000Z,2015-01-03T04:48:00.000Z,1900 Block Of N Madison St,Monday
-117.411779896120024,47.631798442642278,37,VEH-PROWL,Vehicle Prowling,2015-01-02T21:00:00.000Z,2015-01-03T07:00:00.000Z,0 Block Of W 25Th Av,Sunday
-117.395067385877653,47.695366743712519,38,MALICIOUS MISCHIEF,Malicious Mischief,2015-01-03T07:19:00.000Z,2015-01-03T07:19:00.000Z,1000 Block Of E Lacrosse Av,Monday
-117.414338007950192,47.630001058931924,39,VEH-PROWL,Vehicle Prowling,2015-01-02T22:00:00.000Z,2015-01-03T07:00:00.000Z,100 Block Of W 27Th Av,Sunday
