"","V1","ac","district","date","address","offense","year","num.month","num.week"
"1","C BURGLARY 2D COMMERCIAL 3900 W INDIAN TRAIL RD 6/18/2019 P1","C","P1",2019-06-18,"3900 W INDIAN TRAIL","BURGLARY 2D COMMERCIAL","2019","06","24"
"2","C BURGLARY 2D FENCED AREA 6600 N MAPLE ST 6/18/2019 P1","C","P1",2019-06-18,"6600 N MAPLE ST","BURGLARY 2D FENCED AREA","2019","06","24"
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","C THEFT 3D FROM MOTOR VEHICLE 9200 N OAK ST 6/19/2019 P1","C","P1",2019-06-19,"9200 N OAK ST","THEFT 3D FROM MOTOR VEHICLE","2019","06","24"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","C THEFT 3D FROM MOTOR VEHICLE 9200 N COURSIER LN 6/19/2019 P1","C","P1",2019-06-19,"9200 N COURSIER LN","THEFT 3D FROM MOTOR VEHICLE","2019","06","24"
"7","A THEFT OF MOTOR VEHICLE 9200 N COURSIER LN 6/19/2019 P1","A","P1",2019-06-19,"9200 N COURSIER LN","THEFT OF MOTOR VEHICLE","2019","06","24"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","C BURGLARY 2D GARAGE 5000 N HOWARD ST 6/17/2019 P1","C","P1",2019-06-17,"5000 N HOWARD ST","BURGLARY 2D GARAGE","2019","06","24"
"10","A BURGLARY 2D GARAGE 5000 N JEFFERSON ST 6/19/2019 P1","A","P1",2019-06-19,"5000 N JEFFERSON ST","BURGLARY 2D GARAGE","2019","06","24"
"11","C MAIL THEFT 5000 N HOWARD ST 6/20/2019 P1","C","P1",2019-06-20,"5000 N HOWARD ST","MAIL THEFT","2019","06","24"
"12","C THEFT 2D FROM MOTOR VEHICLE 4200 N MADISON ST 6/17/2019 P1","C","P1",2019-06-17,"4200 N MADISON ST","THEFT 2D FROM MOTOR VEHICLE","2019","06","24"
"13","C THEFT 3D ALL OTHER 5000 N JEFFERSON ST 6/19/2019 P1","C","P1",2019-06-19,"5000 N JEFFERSON ST","THEFT 3D ALL OTHER","2019","06","24"
"14","C THEFT 3D FROM BUILDING 4200 N DIVISION ST 6/17/2019 P1","C","P1",2019-06-17,"4200 N DIVISION ST","THEFT 3D FROM BUILDING","2019","06","24"
"15","C THEFT 3D FROM MOTOR VEHICLE 5000 N HOWARD ST 6/17/2019 P1","C","P1",2019-06-17,"5000 N HOWARD ST","THEFT 3D FROM MOTOR VEHICLE","2019","06","24"
"16","C THEFT 3D FROM MOTOR VEHICLE 3900 N MONROE ST 6/20/2019 P1","C","P1",2019-06-20,"3900 N MONROE ST","THEFT 3D FROM MOTOR VEHICLE","2019","06","24"
"17","C THEFT 3D FROM MOTOR VEHICLE 3900 N LINCOLN ST 6/22/2019 P1","C","P1",2019-06-22,"3900 N LINCOLN ST","THEFT 3D FROM MOTOR VEHICLE","2019","06","24"
"18","C THEFT 3D SHOPLIFTING 1000 W WELLESLEY AVE 6/22/2019 P1","C","P1",2019-06-22,"1000 W WELLESLEY AVE","THEFT 3D SHOPLIFTING","2019","06","24"
