series_id        	year	period	       value	footnote_codes
APU0000701111    	1995	M01	       0.238	
APU0000701111    	1995	M02	       0.242	
APU0000701111    	1995	M03	       0.242	
APU0000701111    	1995	M04	       0.236	
APU0000701111    	1995	M05	       0.244	
APU0000701111    	1995	M06	       0.244	
APU0000701111    	1995	M07	       0.248	
APU0000701111    	1995	M08	       0.255	
APU0000701111    	1995	M09	       0.256	
APU0000701111    	1995	M10	       0.254	
APU0000701111    	1995	M11	       0.243	
APU0000701111    	1995	M12	       0.243	
APU0000701111    	1996	M01	       0.262	
APU0000701111    	1996	M02	       0.262	
APU0000701111    	1996	M03	       0.274	
APU0000701111    	1996	M04	       0.266	
APU0000701111    	1996	M05	       0.281	
APU0000701111    	1996	M06	       0.297	
APU0000701111    	1996	M07	       0.308	
APU0000701111    	1996	M08	       0.314	
APU0000701111    	1996	M09	       0.308	
APU0000701111    	1996	M10	       0.293	
APU0000701111    	1996	M11	       0.295	
APU0000701111    	1996	M12	       0.292	
APU0000701111    	1997	M01	       0.309	
APU0000701111    	1997	M02	       0.308	
APU0000701111    	1997	M03	       0.305	
APU0000701111    	1997	M04	       0.304	
APU0000701111    	1997	M05	       0.310	
APU0000701111    	1997	M06	       0.310	
APU0000701111    	1997	M07	       0.309	
APU0000701111    	1997	M08	       0.307	
APU0000701111    	1997	M09	       0.305	
APU0000701111    	1997	M10	       0.294	
APU0000701111    	1997	M11	       0.283	
APU0000701111    	1997	M12	       0.279	
APU0000701111    	1998	M01	       0.299	
APU0000701111    	1998	M02	       0.297	
APU0000701111    	1998	M03	       0.302	
APU0000701111    	1998	M04	       0.298	
APU0000701111    	1998	M05	       0.308	
APU0000701111    	1998	M06	       0.305	
APU0000701111    	1998	M07	       0.307	
APU0000701111    	1998	M08	       0.310	
APU0000701111    	1998	M09	       0.305	
APU0000701111    	1998	M10	       0.301	
APU0000701111    	1998	M11	       0.287	
APU0000701111    	1998	M12	       0.279	
APU0000701111    	1999	M01	       0.297	
APU0000701111    	1999	M02	       0.293	
APU0000701111    	1999	M03	       0.289	
APU0000701111    	1999	M04	       0.283	
APU0000701111    	1999	M05	       0.306	
APU0000701111    	1999	M06	       0.303	
APU0000701111    	1999	M07	       0.308	
APU0000701111    	1999	M08	       0.311	
APU0000701111    	1999	M09	       0.310	
APU0000701111    	1999	M10	       0.288	
APU0000701111    	1999	M11	       0.272	
APU0000701111    	1999	M12	       0.267	
APU0000701111    	2000	M01	       0.286	
APU0000701111    	2000	M02	       0.267	
APU0000701111    	2000	M03	       0.285	
APU0000701111    	2000	M04	       0.283	
APU0000701111    	2000	M05	       0.302	
APU0000701111    	2000	M06	       0.305	
APU0000701111    	2000	M07	       0.305	
APU0000701111    	2000	M08	       0.304	
APU0000701111    	2000	M09	       0.303	
APU0000701111    	2000	M10	       0.306	
APU0000701111    	2000	M11	       0.262	
APU0000701111    	2000	M12	       0.275	
APU0000701111    	2001	M01	       0.304	
APU0000701111    	2001	M02	       0.307	
APU0000701111    	2001	M03	       0.312	
APU0000701111    	2001	M04	       0.276	
APU0000701111    	2001	M05	       0.310	
APU0000701111    	2001	M06	       0.313	
APU0000701111    	2001	M07	       0.315	
APU0000701111    	2001	M08	       0.318	
APU0000701111    	2001	M09	       0.296	
APU0000701111    	2001	M10	       0.309	
APU0000701111    	2001	M11	       0.286	
APU0000701111    	2001	M12	       0.282	
APU0000701111    	2002	M01	       0.319	
APU0000701111    	2002	M02	       0.318	
APU0000701111    	2002	M03	       0.310	
APU0000701111    	2002	M04	       0.307	
APU0000701111    	2002	M05	       0.323	
APU0000701111    	2002	M06	       0.325	
APU0000701111    	2002	M07	       0.320	
APU0000701111    	2002	M08	       0.322	
APU0000701111    	2002	M09	       0.322	
APU0000701111    	2002	M10	       0.289	
APU0000701111    	2002	M11	       0.291	
APU0000701111    	2002	M12	       0.292	
APU0000701111    	2003	M01	       0.316	
APU0000701111    	2003	M02	       0.299	
APU0000701111    	2003	M03	       0.319	
APU0000701111    	2003	M04	       0.318	
APU0000701111    	2003	M05	       0.327	
APU0000701111    	2003	M06	       0.327	
APU0000701111    	2003	M07	       0.328	
APU0000701111    	2003	M08	       0.329	
APU0000701111    	2003	M09	       0.317	
APU0000701111    	2003	M10	       0.288	
APU0000701111    	2003	M11	       0.285	
APU0000701111    	2003	M12	       0.287	
APU0000701111    	2004	M01	       0.307	
APU0000701111    	2004	M02	       0.302	
APU0000701111    	2004	M03	       0.300	
APU0000701111    	2004	M04	       0.283	
APU0000701111    	2004	M05	       0.297	
APU0000701111    	2004	M06	       0.312	
APU0000701111    	2004	M07	       0.324	
APU0000701111    	2004	M08	       0.324	
APU0000701111    	2004	M09	       0.307	
APU0000701111    	2004	M10	       0.299	
