ac,offense,address,date,district
C, MAIL THEFT, 6600 N AUSTIN RD, 2/21/2018, P1
C, MAIL THEFT, 6600 N AUSTIN RD, 2/22/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2100 W FRANCIS AVE, 2/18/2018, P1
C, THEFT-CITY (Shoplifting), 1700 W FRANCIS AVE, 2/18/2018, P1
C, BURGLARY 2D GARAGE, 4100 N WALL ST, 2/18/2018, P1
C, BURGLARY 2D GARAGE, 900 W COLUMBIA AVE, 2/18/2018, P1
C, BURGLARY 2D GARAGE, 5200 N HOWARD ST, 2/18/2018, P1
C, BURGLARY-RESIDENTIAL, 4100 N LINCOLN ST, 2/21/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE , N CEDAR ST / W FRANCIS AVE, 2/18/2018, P1
C, THEFT 3D ALL OTHER, 1000 W GARLAND AVE, 2/20/2018, P1
C, THEFT 3D ALL OTHER, 1100 W ROWAN AVE, 2/20/2018, P1
C, THEFT 3D FROM BUILDING, 4200 N DIVISION ST, 2/23/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 6100 N HOWARD ST, 2/21/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 4000 N ADAMS ST, 2/19/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 5100 N WALNUT ST, 2/22/2018, P1
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 2/20/2018, P1
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 2/24/2018, P1
C, THEFT-CITY FROM BUILDING, 3500 N DIVISION ST, 2/24/2018, P1
C, ASSAULT 2D, 2100 W GRACE AVE, 2/20/2018, P1
C, MAIL THEFT, 2300 W KIERNAN AVE, 2/21/2018, P1
C, THEFT OF MOTOR VEHICLE, 2300 W CLEVELAND AVE, 2/23/2018, P1
C, THEFT 2D ALL OTHER, 2300 W WELLESLEY AVE, 2/19/2018, P1
C, THEFT 2D FROM BUILDING, 2500 W WELLESLEY AVE, 2/23/2018, P1
C, THEFT 3D FROM BUILDING, 2400 W SANSON AVE, 2/21/2018, P2
C, THEFT 3D FROM BUILDING, 2300 W WELLESLEY AVE, 2/22/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 2500 W KIERNAN AVE, 2/19/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5500 N ALBERTA ST, 2/20/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2300 W CARLISLE AVE, 2/21/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2500 W GORDON AVE, 2/22/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 6000 N ASSEMBLY ST, 2/23/2018, P1
C, THEFT 3D SHOPLIFTING, 2800 W GARLAND AVE, 2/18/2018, P1
C, THEFT 3D SHOPLIFTING, 2200 W WELLESLEY AVE, 2/21/2018, P1
C, THEFT 3D SHOPLIFTING, 2500 W WELLESLEY AVE, 2/24/2018, P1
C, THEFT 3D SHOPLIFTING, 2500 W WELLESLEY AVE, 2/24/2018, P1
C, THEFT-CITY (Shoplifting), 2300 W WELLESLEY AVE, 2/18/2018, P1
C, WEAPON (INTIMIDATE WITH) , N BELT ST / W DALTON AVE, 2/22/2018, P1
C, THEFT OF MOTOR VEHICLE, E ST THOMAS MOOR AVE / N NEVADA ST, 2/22/2018, P2
C, THEFT CITY FROM MOTOR VEHICLE, E ST THOMAS MOOR AVE / N NEVADA ST, 2/22/2018, P2
C, BURGLARY 2D COMMERCIAL, 500 W SINTO AVE, 2/19/2018, P2
C, BURGLARY 2D COMMERCIAL, 1600 N DIVISION ST, 2/23/2018, P2
C, THEFT OF MOTOR VEHICLE, 1900 W CLEVELAND AVE, 2/22/2018, P2
C, THEFT 2D FROM MOTOR VEHICLE, 700 W MONTGOMERY AVE, 2/18/2018, P2
C, THEFT 2D FROM MOTOR VEHICLE, 2000 W NORTHWEST BLVD, 2/18/2018, P2
C, THEFT 2D FROM MOTOR VEHICLE, 1900 W CLEVELAND AVE, 2/22/2018, P2
C, THEFT 3D ALL OTHER, 600 W CLEVELAND AVE, 2/18/2018, P1
C, THEFT 3D FROM BUILDING, 1800 N POST ST, 2/18/2018, P2
C, THEFT 3D FROM BUILDING, 800 W NORA AVE, 2/18/2018, P2
C, THEFT 3D FROM BUILDING, 1600 N DIVISION ST, 2/23/2018, P2
C, THEFT 3D FROM BUILDING, 1800 N WALL ST, 2/23/2018, P2
