ac, offense, address, date, district
C, THEFT 2D ALL OTHER, 2800 W BEACON AVE, 5/28/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2700 W WEILE AVE, 5/31/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 6900 N COCHRAN ST, 6/1/2019, P1
C, RESIDENTIAL BURGLARY, 2300 W STRONG RD, 5/31/2019, P1
C, THEFT 3D ALL OTHER, 2800 W PARKWAY AVE, 5/31/2019, P1
C, THEFT 3D ALL OTHER, 7800 N ALBERTA ST, 5/31/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2800 W PARKWAY AVE, 5/31/2019, P1
C, BURGLARY 2D GARAGE, 6900 W IROQUOIS DR, 5/28/2019, P4
C, ROBBERY 2D COMMERCIAL, 9000 N INDIAN TRAIL RD, 6/1/2019, P1
C, THEFT 3D ALL OTHER, 10800 N WIEBER DR, 5/27/2019, P1
C, THEFT 3D FROM BUILDING, 6900 W IROQUOIS DR, 5/28/2019, P4
C, BURGLARY 2D GARAGE, 1200 W GLASS AVE, 5/28/2019, P1
C, BURGLARY 2D GARAGE, 4200 N HAWTHORNE ST, 5/29/2019, P1
C, BURGLARY 2D GARAGE, 5000 N MONROE ST, 5/30/2019, P1
C, RESIDENTIAL BURGLARY, 3900 N HOWARD ST, 5/30/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 300 W QUEEN AVE, 5/30/2019, P1
C, THEFT 3D ALL OTHER, 5400 N WHITEHOUSE ST, 5/27/2019, P1
C, THEFT 3D ALL OTHER, W PRINCETON AVE / N JEFFERSON ST, 5/28/2019, P1
C, THEFT 3D ALL OTHER, 3900 N MAPLE ST, 5/31/2019, P1
C, THEFT 3D ALL OTHER, 4200 N WALNUT ST, 6/1/2019, P1
C, THEFT 3D ALL OTHER, 4200 N WALNUT ST, 6/1/2019, P1
C, THEFT 3D FROM BUILDING, 800 W PROVIDENCE AVE, 5/29/2019, P1
C, THEFT 3D FROM BUILDING, 3900 N HOWARD ST, 5/30/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4700 N DIVISION ST, 5/29/2019, P1
A, THEFT 3D FROM MOTOR VEHICLE, 5200 N LINCOLN ST, 5/31/2019, P1
A, THEFT 3D FROM MOTOR VEHICLE, 4500 N WALNUT ST, 5/31/2019, P1
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 5/27/2019, P1
C, THEFT 3D SHOPLIFTING, 3800 N DIVISION ST, 5/29/2019, P1
C, THEFT 3D SHOPLIFTING, 3600 N DIVISION ST, 5/31/2019, P1
C, THEFT 3D SHOPLIFTING, 6100 N DIVISION ST, 5/31/2019, P1
C, THEFT 3D SHOPLIFTING, 1000 W WELLESLEY AVE, 6/1/2019, P1
C, THEFT OF MOTOR VEHICLE, 900 W GARLAND AVE, 5/27/2019, P2
C, THEFT OF MOTOR VEHICLE, 3800 N DIVISION ST, 5/31/2019, P3
C, THEFT OF MOTOR VEHICLE, 4200 N MONROE ST, 6/1/2019, P1
C, ASSAULT 2D, 5800 N ALBERTA ST, 5/26/2019, P1
C, ASSAULT 2D, 2900 W ELOIKA AVE, 5/27/2019, P1
C, MAIL THEFT, 5900 N ELM ST, 5/29/2019, P1
C, MAIL THEFT, 3100 W CORA AVE, 5/31/2019, P1
C, THEFT 1D ALL OTHER, 2300 W WELLESLEY AVE, 5/27/2019, P1
C, THEFT 2D FROM BUILDING, 2300 W SANSON AVE, 6/1/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 2700 W LACROSSE AVE, 5/26/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 5700 N ASSEMBLY ST, 5/26/2019, P1
C, THEFT 2D FROM MOTOR VEHICLE, 4400 N AUBREY L WHITE PKWY, 5/30/2019, P1
C, THEFT 3D ALL OTHER, 4400 N AUBREY L WHITE PKWY, 5/29/2019, P1
C, THEFT 3D ALL OTHER, 7300 N PINE ROCK ST, 5/30/2019, P1
C, THEFT 3D FROM BUILDING, 3100 W WELLESLEY AVE, 5/31/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2400 W LACROSSE AVE, 5/26/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4400 N AUBREY L WHITE PKWY, 5/27/2019, P1
A, THEFT 3D FROM MOTOR VEHICLE, 4100 N OAK ST, 5/28/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5500 N DRISCOLL BLVD, 5/29/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5200 N GREENWOOD BLVD, 5/29/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3400 N MILTON ST, 5/30/2019, P1
C, THEFT 3D SHOPLIFTING, 2100 W NORTHWEST BLVD, 5/30/2019, P1
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES, 5000 N A ST, 5/29/2019, P1
C, THEFT OF MOTOR VEHICLE, 5500 N FOREST BLVD, 6/1/2019, P1
C, ASSAULT 2D, 3200 N LINCOLN ST, 5/26/2019, P1
C, RESIDENTIAL BURGLARY, 1400 W GRACE AVE, 5/30/2019, P1
C, THEFT 2D ALL OTHER, 1200 W JACKSON AVE, 5/29/2019, P2
C, THEFT 2D FROM BUILDING, 700 W MAXWELL AVE, 5/31/2019, P2
C, THEFT 2D FROM MOTOR VEHICLE, 1000 W KNOX AVE, 5/28/2019, P2
C, THEFT 3D ALL OTHER, 200 W EUCLID AVE, 5/27/2019, P2
C, THEFT 3D ALL OTHER, 1400 N DIVISION ST, 5/28/2019, P2
C, THEFT 3D ALL OTHER, 1600 W KNOX AVE, 5/29/2019, P2
C, THEFT 3D FROM BUILDING, 1200 N LINCOLN ST, 5/29/2019, P2
A, THEFT 3D FROM MOTOR VEHICLE, 2000 W BUCKEYE AVE, 5/26/2019, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1400 W CHELAN AVE, 5/30/2019, P7
C, THEFT 3D FROM MOTOR VEHICLE, 300 W SHANNON AVE, 5/31/2019, P2
C, THEFT OF MOTOR VEHICLE, 800 W AUGUSTA AVE, 5/28/2019, P2
C, THEFT OF MOTOR VEHICLE, N WALL ST / W MONTGOMERY AVE, 5/29/2019, P2
