ac,offense,address,date,district
C, RAPE 2D, NA, 4/17/2018, P1
C, MAIL THEFT, 4200 W ARROWHEAD RD, 4/16/2018, P1
C, THEFT 3D FROM BUILDING, 3700 W INDIAN TRAIL RD, 4/17/2018, P1
C, THEFT 3D FROM BUILDING, 5300 W RIFLE, CLUB CT, 4/18/2018, P1
A, THEFT 3D FROM MOTOR VEHICLE, 7500 N VALERIE CT, 4/19/2018, P1
C, WEAPON (INTIMIDATE WITH), 4300 W OSAGE WAY, 4/19/2018, P1
C, BURGLARY 1D GARAGE, 5200 W EDGEWOOD CT, 4/20/2018, P1
C, BURGLARY-RESIDENTIAL, 10500 N RUSSETT DR, 4/20/2018, P1
C, THEFT OF MOTOR VEHICLE, 10500 N RUSSETT DR, 4/20/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 9600 N WICKIUP CT, 4/17/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 10500 N RUSSETT DR, 4/20/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 5300 W NEWELL CT, 4/20/2018, P1
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 9600 N WICKIUP CT, 4/17/2018, P1
C, THEFT 3D SHOPLIFTING, 9000 N INDIAN TRAIL RD, 4/20/2018, P1
C, THEFT-CITY FROM BUILDING, 10500 N RUSSETT DR, 4/20/2018, P1
C, THEFT CITY FROM MOTOR VEHICLE, 5200 W EDGEWOOD CT, 4/20/2018, P1
C, THEFT CITY FROM MOTOR VEHICLE, 10500 N RUSSETT DR, 4/20/2018, P1
C, VEHICLE PROWLING 2D FROM VEHICLE, 5200 W EDGEWOOD CT, 4/20/2018, P1
C, VEHICLE PROWLING 2D FROM VEHICLE, 10500 N RUSSETT DR, 4/20/2018, P1
C, ASSAULT 4D WEAPON OR NEGLIGENT INJURY, 4800 N ASH ST, 4/18/2018, P2
C, BURGLARY 2D GARAGE, 1400 W COURTLAND AVE, 4/20/2018, P1
C, BURGLARY-RESIDENTIAL, 5700 N ATLANTIC ST, 4/19/2018, P1
C, RAPE 2D, NA, 4/19/2018, P1
C, THEFT OF MOTOR VEHICLE, 800 W CORA AVE, 4/16/2018, P2
C, THEFT OF MOTOR VEHICLE, 4000 N JEFFERSON ST, 4/19/2018, P1
C, THEFT 1D FROM BUILDING, 3600 N MADISON ST, 4/18/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 5200 N MONROE ST, 4/21/2018, P1
C, THEFT 3D FROM BUILDING, 700 W GLASS AVE, 4/18/2018, P2
C, THEFT 3D SHOPLIFTING, 6100 N DIVISION ST, 4/16/2018, P1
C, THEFT 3D SHOPLIFTING, 4700 N DIVISION ST, 4/17/2018, P2
C, THEFT 3D SHOPLIFTING, 6000 N DIVISION ST, 4/21/2018, P2
C, ASSAULT 2D, 4500 W WELLESLEY AVE, 4/15/2018, P1
A, BURGLARY 2D COMMERCIAL, 2500 W NORTHWEST BLVD, 4/21/2018, P1
C, BURGLARY 2D COMMERCIAL, 3400 W BISMARK AVE, 4/21/2018, P1
C, BURGLARY 2D GARAGE, 5300 N DRISCOLL BLVD, 4/18/2018, P1
C, BURGLARY 2D GARAGE, 3300 W EUCLID AVE, 4/19/2018, P1
C, BURGLARY-RESIDENTIAL, 3800 W WELLESLEY AVE, 4/17/2018, P1
A, BURGLARY-RESIDENTIAL, 3300 W PRINCETON AVE, 4/17/2018, P1
C, BURGLARY-RESIDENTIAL, 3800 W WELLESLEY AVE, 4/19/2018, P1
C, MAIL THEFT, 3300 N WELLINGTON PL, 4/16/2018, P1
C, MAIL THEFT, 4500 N GUSTAVUS ST, 4/18/2018, P1
C, RAPE OF A CHILD 3D, NA, 4/16/2018, P1
C, THEFT OF MOTOR VEHICLE, 2500 W SANSON AVE, 4/19/2018, P1
A, THEFT 1D ALL OTHER, 5800 N C ST, 4/16/2018, P1
C, THEFT 2D FROM BUILDING, 4000 W ROWAN AVE, 4/17/2018, P1
C, THEFT 3D ALL OTHER, 3500 W CROWN PL, 4/20/2018, P1
C, THEFT 3D ALL OTHER, 2200 N HEMLOCK ST, 4/20/2018, P1
C, THEFT 3D ALL OTHER, 3000 W LITCHFIELD PL, 4/21/2018, P1
C, THEFT 3D FROM BUILDING, 4000 W ROWAN AVE, 4/17/2018, P1
C, THEFT 3D FROM BUILDING, 2400 W WELLESLEY AVE, 4/21/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 2300 W WELLESLEY AVE, 4/15/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4900 W WELLESLEY AVE, 4/17/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 4100 N ELM ST, 4/17/2018, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3400 W KIERNAN AVE, 4/19/2018, P1
C, THEFT 3D SHOPLIFTING, 2300 W WELLESLEY AVE, 4/15/2018, P1
C, THEFT 3D SHOPLIFTING, 2200 W WELLESLEY AVE, 4/16/2018, P1
C, THEFT 3D SHOPLIFTING, 2500 W WELLESLEY AVE, 4/18/2018, P1
C, THEFT-CITY ALL OTHER THEFTS, 5200 N CANNON ST, 4/19/2018, P1
C, THEFT-CITY FROM BUILDING, 3800 W WELLESLEY AVE, 4/19/2018, P1
A, BURGLARY 2D COMMERCIAL, 1400 W KNOX AVE, 4/20/2018, P1
C, BURGLARY 2D COMMERCIAL, 2900 N DIVISION ST, 4/20/2018, P2
C, RAPE OF A CHILD 2D, NA, 4/18/2018, P2
C, THEFT OF MOTOR VEHICLE W KNOX, AVE / N STEVENS ST, 4/16/2018, P2
C, THEFT 2D FROM BUILDING, 2000 W KNOX AVE, 4/18/2018, P2
C, THEFT 2D FROM BUILDING, 1600 W NORTHWEST BLVD, 4/18/2018, P2
C, THEFT 2D FROM MOTOR VEHICLE, 500 W SHANNON AVE, 4/15/2018, P2
C, THEFT 2D FROM MOTOR VEHICLE W KNOX, AVE / N STEVENS ST, 4/16/2018, P2
C, THEFT 3D ALL OTHER, 700 W BUCKEYE AVE, 4/16/2018, P2
C, THEFT 3D ALL OTHER, 1000 W MANSFIELD AVE, 4/18/2018, P2
C, THEFT 3D ALL OTHER, 1500 N HOWARD ST, 4/20/2018, P2
C, THEFT 3D FROM BUILDING, 1300 N WASHINGTON ST, 4/19/2018, P2
C, THEFT 3D FROM BUILDING, 1300 N WASHINGTON ST, 4/19/2018, P2
A, THEFT 3D FROM MOTOR VEHICLE, 2000 N POST ST, 4/15/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 700 W MAXWELL AVE, 4/16/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 900 W FAIRVIEW AVE, 4/17/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1200 W GRACE AVE, 4/19/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 1100 W CLEVELAND AVE, 4/19/2018, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 500 W SHANNON AVE, 4/15/2018, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 1100 W FAIRVIEW AVE, 4/17/2018, P2
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 1500 W MANSFIELD AVE, 4/17/2018, P2
C, THEFT 3D SHOPLIFTING, 1600 W NORTHWEST BLVD, 4/15/2018, P2
C, THEFT 3D SHOPLIFTING, 1600 W NORTHWEST BLVD, 4/18/2018, P2
C, THEFT 3D SHOPLIFTING, 1600 W NORTHWEST BLVD, 4/18/2018, P2
C, THEFT 3D SHOPLIFTING, 1600 W NORTHWEST BLVD, 4/18/2018, P2
C, THEFT 3D SHOPLIFTING, 900 W INDIANA AVE, 4/20/2018, P2
C, THEFT-CITY ALL OTHER THEFTS, 1400 W KNOX AVE, 4/20/2018, P1
C, THEFT CITY FROM MOTOR VEHICLE W KNOX, AVE / N STEVENS ST, 4/16/2018, P2
C, THEFT-CITY (Shoplifting), 1600 W NORTHWEST BLVD, 4/15/2018, P1
C, THEFT 3D ALL OTHER, 1100 N MONROE ST, 4/17/2018, P2
C, ASSAULT 4D WEAPON OR NEGLIGENT INJURY, 1900 W SPOFFORD AVE, 4/18/2018, P2
A, BURGLARY 2D COMMERCIAL, 700 N MONROE ST, 4/17/2018, P1
C, BURGLARY-RESIDENTIAL, 2400 W BRIDGE AVE, 4/15/2018, P2
C, BURGLARY-RESIDENTIAL, 2100 W SHARP AVE, 4/16/2018, P1
C, BURGLARY-RESIDENTIAL, 2000 W GARDNER AVE, 4/17/2018, P1
C, BURGLARY-RESIDENTIAL, 1300 N MADISON ST, 4/18/2018, P1
C, BURGLARY-RESIDENTIAL, 1700 W BOONE AVE, 4/20/2018, P1
C, RAPE 3D, NA, 4/16/2018, P4
C, THEFT 2D FROM MOTOR VEHICLE, 1200 W COLLEGE AVE, 4/19/2018, P2
C, THEFT 3D ALL OTHER, 1300 N ASH ST, 4/15/2018, P2
C, THEFT 3D FROM BUILDING, 1500 W SPOFFORD AVE, 4/18/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 800 N SUMMIT BLVD, 4/16/2018, P2
C, THEFT 3D SHOPLIFTING, 1300 N MONROE ST, 4/18/2018, P2
C, THEFT-CITY ALL OTHER THEFTS, 2400 W MALLON AVE, 4/20/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 500 N GOVERNMENT WAY, 4/21/2018, P2
C, ASSAULT 3D (d)or(f) (Weapon/Instrument/Bodily Harm), 900 E GARLAND AVE, 4/16/2018, P4
C, BURGLARY 2D COMMERCIAL, 6300 N DIVISION ST, 4/15/2018, P4
C, BURGLARY 2D COMMERCIAL, 9600 N NEWPORT HWY, 4/16/2018, P4
C, BURGLARY 2D COMMERCIAL, 4700 N DIVISION ST, 4/21/2018, P3
C, BURGLARY 2D GARAGE, 500 E ROCKWELL AVE, 4/15/2018, P3
C, BURGLARY 2D GARAGE, 6100 N LIDGERWOOD ST, 4/20/2018, P3
C, BURGLARY-RESIDENTIAL, 800 E GORDON AVE, 4/18/2018, P4
C, ROBBERY 1D PERSON (NOT PURSE SNATCHING), 300 E HEROY AVE, 4/19/2018, P3
C, THEFT OF MOTOR VEHICLE, 7000 N NEVADA ST, 4/16/2018, P4
C, THEFT OF MOTOR VEHICLE E BROAD, AVE / N STANDARD ST, 4/20/2018, P4
C, THEFT 1D ALL OTHER, 700 E GARLAND AVE, 4/15/2018, P4
C, THEFT 2D FROM BUILDING, 7100 N DIVISION ST, 4/20/2018, P1
C, THEFT 2D FROM MOTOR VEHICLE, 600 E HOLLAND AVE, 4/16/2018, P3
C, THEFT 2D FROM MOTOR VEHICLE E BROAD, AVE / N STANDARD ST, 4/20/2018, P4
C, THEFT 2D FROM MOTOR VEHICLE, 0 E RICH AVE, 4/21/2018, P3
C, THEFT 2D VEHICLE PARTS OR ACCESSORIES, 1100 E RICH AVE, 4/15/2018, P3
C, THEFT 2D SHOPLIFTING, 4700 N DIVISION ST, 4/17/2018, P3
C, THEFT 3D FROM BUILDING, 9900 N NEWPORT HWY, 4/15/2018, P2
C, THEFT 3D FROM BUILDING, 8600 N NEVADA ST, 4/15/2018, P3
C, THEFT 3D FROM BUILDING, 0 E EMPIRE AVE, 4/16/2018, P3
C, THEFT 3D FROM BUILDING, 0 E LONGFELLOW AVE, 4/18/2018, P3
C, THEFT 3D FROM BUILDING, 500 E WABASH AVE, 4/20/2018, P3
C, THEFT 3D FROM BUILDING, 5800 N DIVISION ST, 4/20/2018, P3
C, THEFT 3D FROM BUILDING, 6100 N MAYFAIR ST, 4/21/2018, P3
C, THEFT 3D FROM MOTOR VEHICLE, 7400 N NEVADA ST, 4/15/2018, P3
C, THEFT 3D FROM MOTOR VEHICLE, 1100 E RICH AVE, 4/15/2018, P3
C, THEFT 3D FROM MOTOR VEHICLE, 7000 N COLTON ST, 4/17/2018, P2
C, THEFT 3D FROM MOTOR VEHICLE, 6800 N CRESTLINE ST, 4/18/2018, P3
C, THEFT 3D FROM MOTOR VEHICLE, 100 E DALTON AVE, 4/18/2018, P3
C, THEFT 3D FROM MOTOR VEHICLE, 4700 N DIVISION ST, 4/18/2018, P3
A, THEFT 3D FROM MOTOR VEHICLE, 700 E COURTLAND AVE, 4/21/2018, P3
