C, THEFT 3D FROM BUILDING, 1400 W FRANCIS AVE, 1/7/2019, P2
C, THEFT OF MOTOR VEHICLE, 6500 N CEDAR RD, 1/7/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 1700 W FRANCIS AVE, 1/6/2019, P1
C, THEFT 3D ALL OTHER, 8900 N PAMELA ST, 1/12/2019, P1
C, VEHICLE PROWLING 2D FROM VEHICLE, 10400 N IROQUOIS DR, 1/6/2019, P4
C, ASSAULT 2D W LONGFELLOW, AVE / N WALNUT ST, 1/8/2019, P1
C, BURGLARY 1D FROM RESIDENCE, 5400 N MAPLE ST, 1/6/2019, P1
C, BURGLARY 2D GARAGE, 4900 N WALNUT ST, 1/6/2019, P1
C, BURGLARY 2D GARAGE, 100 W CORA AVE, 1/7/2019, P1
A, BURGLARY 2D GARAGE, 5900 N WHITEHOUSE ST, 1/10/2019, P2
C, MAIL THEFT, 4900 N NORMANDIE ST, 1/9/2019, P1
C, THEFT 3D SHOPLIFTING, 3600 N DIVISION ST, 1/7/2019, P1
C, THEFT OF MOTOR VEHICLE, 6200 N STEVENS ST, 1/10/2019, P1
C, THEFT FIREARM FROM BUILDING, 5400 N MAPLE ST, 1/6/2019, P1
C, THEFT 2D ALL OTHER, 700 W CORA AVE, 1/12/2019, P1
C, THEFT 3D ALL OTHER, 1000 W GARLAND AVE, 1/10/2019, P1
A, THEFT 3D FROM MOTOR VEHICLE, 6200 N DIVISION ST, 1/7/2019, P1
C, ASSAULT 2D, 4800 N ALAMEDA BLVD, 1/11/2019, P1
C, ASSAULT 2D, 6500 N WINDSOR ST, 1/12/2019, P1
C, BURGLARY 2D GARAGE, 5500 N A ST, 1/10/2019, P1
C, IBR, Purposes, Only, -, Motor, Vehicle, Theft N COCHRAN, ST / W FAIRVIEW AVE, 1/6/2019, P1
C, IBR, Purposes, Only, -, Motor, Vehicle, Theft, 5500 N A ST, 1/10/2019, P1
A, RESIDENTIAL BURGLARY, 5000 N DRISCOLL BLVD, 1/9/2019, P1
C, THEFT 3D CITY ALL OTHER N COCHRAN, ST / W FAIRVIEW AVE, 1/6/2019, P1
C, THEFT 3D FROM MOTOR VEHICLE, 3100 W DAISY AVE, 1/9/2019, P1
