ac,offense,address,date,district
C, THEFT OF MOTOR VEHICLE                 , N WASHINGTON ST / W PROVIDENCE AVE   , 4/11/2019 , P1,
C, ASSAULT 2D                                         , 9700 N WOODRIDGE DR     , 4/12/2019 , P1,
C, RESIDENTIAL BURGLARY                               , 9700 N MOORE ST         , 4/9/2019  , P1,
C, THEFT 3D SHOPLIFTING                               , 9000 N INDIAN TRAIL RD  , 4/8/2019  , P1,
C, ARSON 1D                                           , 5100 N ADAMS ST         , 4/11/2019 , P1,
C, ARSON 2D                                           , 6000 N ATLANTIC ST      , 4/11/2019 , P1,
C, BURGLARY 2D COMMERCIAL                             , 4400 N DIVISION ST      , 4/9/2019  , P3,
C, THEFT 2D ALL OTHER                            , N ASH ST / W WABASH AVE       , 4/7/2019  , P1,
C, THEFT 2D ALL OTHER                                 , 3900 N WHITEHOUSE ST    , 4/12/2019 , P1,
C, THEFT 2D FROM BUILDING                             , 800 W GARLAND AVE       , 4/8/2019  , P1,
C, THEFT 2D FROM BUILDING                             , 1200 W PROVIDENCE AVE   , 4/8/2019  , P1,
C, THEFT 3D ALL OTHER                                 , 3900 N WHITEHOUSE ST    , 4/12/2019 , P1,
C, THEFT 3D FROM MOTOR VEHICLE                        , 4300 N POST ST          , 4/8/2019  , P1,
C, THEFT 3D FROM MOTOR VEHICLE                        , 5000 N WASHINGTON ST    , 4/8/2019  , P1,
C, THEFT 3D FROM MOTOR VEHICLE                        , 5500 N MADISON ST       , 4/9/2019  , P1,
C, THEFT 3D FROM MOTOR VEHICLE                        , 4400 N WHITEHOUSE ST    , 4/9/2019  , P1,
C, THEFT 3D SHOPLIFTING                               , 4700 N DIVISION ST      , 4/13/2019 , P1,
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES             , 3500 N CALISPEL ST      , 4/8/2019  , P1,
C, THEFT OF MOTOR VEHICLE                             , 1500 W COURTLAND AVE    , 4/11/2019 , P1,
C, BURGLARY 2D COMMERCIAL                             , 2200 W WELLESLEY AVE    , 4/11/2019 , P1,
C, BURGLARY 2D COMMERCIAL                             , 2500 W NORTHWEST BLVD   , 4/12/2019 , P1,
A, BURGLARY 2D GARAGE                                 , 3300 W GARLAND AVE      , 4/8/2019  , P1,
C, MAIL THEFT                                         , 5500 N FOTHERINGHAM ST  , 4/8/2019  , P1,
C, RAPE 2D                                            , NA                      , 4/12/2019 , P1,
C, RAPE 3D ORAL/ANAL OR SAME SEX                      ,NA                       , 4/8/2019  , P1,
C, RESIDENTIAL BURGLARY                               , 3000 W DALKE AVE        , 4/12/2019 , P1,
C, THEFT 3D FROM BUILDING                             , 2600 W BROAD AVE        , 4/12/2019 , P1,
C, THEFT 3D FROM BUILDING                             , 2300 W WELLESLEY AVE    , 4/12/2019 , P1,
C, THEFT 3D FROM MOTOR VEHICLE                        , 4300 N RUSTLE ST        , 4/7/2019  , P1,
C, THEFT OF MOTOR VEHICLE                             , 4000 W HEROY AVE        , 4/7/2019  , P1,
A, THEFT OF MOTOR VEHICLE                             , 4300 N RUSTLE ST        , 4/7/2019  , P1,
C, ASSAULT 1D                                         , 1100 W YORK AVE         , 4/9/2019  , P1,
C, ASSAULT 2D                                         , 1300 N ATLANTIC ST      , 4/12/2019 , P2,
C, ASSAULT 2D                                         , 1300 N HOWARD ST        , 4/13/2019 , P2,
C, ASSAULT 2D                                         , 1300 N HOWARD ST        , 4/13/2019 , P8,
C, BURGLARY 2D COMMERCIAL                             , 2900 N DIVISION ST      , 4/10/2019 , P1,
C, BURGLARY 2D GARAGE                                 , 200 W PARK PL           , 4/9/2019  , P2,
C, BURGLARY 2D GARAGE                                 , 700 W MANSFIELD AVE     , 4/11/2019 , P2,
C, RAPE 1D                                            , NA                      , 4/7/2019  , P2,
A, RESIDENTIAL BURGLARY                               , 1400 W INDIANA AVE      , 4/8/2019  , P2,
C, RESIDENTIAL BURGLARY                               , 500 W ALICE AVE         , 4/12/2019 , P1,
C, THEFT 2D ALL OTHER                                 , 500 W MANSFIELD AVE     , 4/8/2019  , P2,
C, THEFT 3D ALL OTHER                                 , 800 W EUCLID AVE        , 4/10/2019 , P2,
C, THEFT 3D CITY FROM MOTOR VEHICLE                   , 1500 W SHANNON AVE      , 4/12/2019 , P1,
C, THEFT 3D FROM BUILDING                             , 2200 N ASH ST           , 4/8/2019  , P2,
C, THEFT 3D FROM BUILDING                             , 1300 N ATLANTIC ST      , 4/13/2019 , P2,
C, THEFT 3D FROM MOTOR VEHICLE                        , 600 W SPOFFORD AVE      , 4/7/2019  , P2,
A, THEFT 3D FROM MOTOR VEHICLE                        , 1100 W DALTON AVE       , 4/8/2019  , P2,
C, THEFT 3D FROM MOTOR VEHICLE                        , 2300 N WALL ST          , 4/8/2019  , P2,
C, THEFT 3D FROM MOTOR VEHICLE                        , 2300 N WALL ST          , 4/8/2019  , P2,
C, THEFT 3D FROM MOTOR VEHICLE                        , 200 W PARK PL           , 4/9/2019  , P2,
C, THEFT 3D FROM MOTOR VEHICLE                        , 300 W PARK PL           , 4/9/2019  , P2,
C, THEFT 3D FROM MOTOR VEHICLE                        , 3000 N ATLANTIC ST      , 4/10/2019 , P2,
C, THEFT 3D FROM MOTOR VEHICLE                 , W SHARP AVE / N HOWARD ST       , 4/10/2019 , P2,
C, THEFT 3D FROM MOTOR VEHICLE                        , 2300 N WALL ST          , 4/12/2019 , P2,
C, THEFT 3D FROM MOTOR VEHICLE                        , 1400 W CHELAN AVE       , 4/12/2019 , P2,
C, THEFT 3D SHOPLIFTING                               , 1600 W NORTHWEST BLVD   , 4/7/2019  , P2,
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES             , 1800 W KNOX AVE         , 4/12/2019 , P2,
C, THEFT OF MOTOR VEHICLE                             , 1400 W INDIANA AVE      , 4/8/2019  , P2,
C, THEFT OF MOTOR VEHICLE                             , 1900 N MAPLE ST         , 4/9/2019  , P2,
C, THEFT OF MOTOR VEHICLE                             , 700 W MANSFIELD AVE     , 4/11/2019 , P2,
C, THEFT OF MOTOR VEHICLE                             , 1100 W SHANNON AVE      , 4/12/2019 , P2,
C, ASSAULT 2D                                         , 1400 W COLLEGE AVE      , 4/8/2019  , P1,
C, ASSAULT 2D                                         , 1100 W MAXWELL AVE      , 4/9/2019  , P1,
C, MAIL THEFT                                         , 2300 W BOONE AVE        , 4/9/2019  , P2,
C, MAIL THEFT                                         , 2300 W BOONE AVE        , 4/10/2019 , P2,
C, MAIL THEFT                                         , 1700 N MAPLE ST         , 4/11/2019 , P2,
C, RAPE 2D                                            , NA                      , 4/9/2019  , P1,
C, RESIDENTIAL BURGLARY                               , 1500 W SPOFFORD AVE     , 4/7/2019  , P2,
C, RESIDENTIAL BURGLARY                               , 2600 W BROADWAY AVE     , 4/9/2019  , P2,
A, RESIDENTIAL BURGLARY                               , 2700 W SHARP AVE        , 4/9/2019  , P1,
C, THEFT 2D ALL OTHER                                 , 2600 W SHARP AVE        , 4/10/2019 , P2,
C, THEFT 3D ALL OTHER                                 , 2000 W COLLEGE AVE      , 4/12/2019 , P2,
C, THEFT 3D CITY SHOPLIFTING                          , 1000 W SUMMIT PKWY      , 4/7/2019  , P1,
C, THEFT 3D CITY SHOPLIFTING                          , 1000 W SUMMIT PKWY      , 4/11/2019 , P1,
C, THEFT 3D FROM MOTOR VEHICLE                        , 1400 W SPOFFORD AVE     , 4/13/2019 , P2,
A, THEFT 3D FROM MOTOR VEHICLE                        , 1100 W AUGUSTA AVE      , 4/13/2019 , P2,
C, THEFT OF MOTOR VEHICLE                             , 2400 W MALLON AVE       , 4/8/2019  , P2,
U, THEFT-CITY (Shoplifting)                           , 1100 W MALLON AVE       , 4/9/2019  , P2,
C, BURGLARY 1D FROM RESIDENCE                         , 2800 W ELLIOTT DR       , 4/13/2019 , P1,
C, THEFT 3D FROM BUILDING                             , 2800 W ELLIOTT DR       , 4/13/2019 , P1,
C, THEFT OF A FIREARM FROM MOTOR VEHICLE              , 2800 W ELLIOTT DR       , 4/11/2019 , P2,
C, ARSON 2D                                           , 500 E DAVE CT           , 4/8/2019  , P4,
C, BURGLARY 1D FROM RESIDENCE                         , 900 E ROCKWELL AVE      , 4/9/2019  , P4,
C, BURGLARY 1D GARAGE                                 , 300 E QUEEN AVE         , 4/7/2019  , P3,
C, BURGLARY 2D COMMERCIAL                             , 9200 N COLTON ST        , 4/7/2019  , P4,
C, BURGLARY 2D GARAGE                                 , 600 E MAGNESIUM RD      , 4/11/2019 , P3,
A, RESIDENTIAL BURGLARY                               , 800 E HOFFMAN AVE       , 4/10/2019 , P1,
C, THEFT 2D ALL OTHER                                 , 7300 N DIVISION ST      , 4/7/2019  , P3,
C, THEFT 2D ALL OTHER                                 , 1200 E WESTVIEW CT      , 4/8/2019  , P3,
C, THEFT 2D ALL OTHER                                 , 5800 N DIVISION ST      , 4/8/2019  , P3,
C, THEFT 2D ALL OTHER                                 , 9700 N NEWPORT HWY      , 4/13/2019 , P3,
C, THEFT 2D FROM BUILDING                             , 5200 N NEVADA ST        , 4/13/2019 , P3,
C, THEFT 2D FROM MOTOR VEHICLE                        , 500 E DAVE CT           , 4/8/2019  , P4,
C, THEFT 2D FROM MOTOR VEHICLE                        , 9600 N DIVISION ST      , 4/9/2019  , P3,
C, THEFT 2D FROM MOTOR VEHICLE                        , 7200 N HAMILTON ST      , 4/11/2019 , P3,
C, THEFT 2D SHOPLIFTING                               , 9100 N NEWPORT HWY      , 4/7/2019  , P3,
C, THEFT 2D SHOPLIFTING                               , 9200 N COLTON ST        , 4/11/2019 , P3,
C, THEFT 3D ALL OTHER                                 , 300 E WEDGEWOOD AVE     , 4/10/2019 , P3,
C, THEFT 3D ALL OTHER                                 , 200 E SIERRA AVE        , 4/11/2019 , P3,
C, THEFT 3D ALL OTHER                                 , 9100 N NEWPORT HWY      , 4/12/2019 , P3,
U, THEFT 3D CITY ALL OTHER                            , 300 E WEDGEWOOD AVE     , 4/9/2019  , P3,
C, THEFT 3D CITY SHOPLIFTING                          , 9200 N COLTON ST        , 4/7/2019  , P4,
C, THEFT 3D CITY SHOPLIFTING                          , 9200 N NEVADA ST        , 4/7/2019  , P2,
C, THEFT 3D CITY SHOPLIFTING                          , 6500 N NEVADA ST        , 4/9/2019  , P4,
C, THEFT 3D CITY SHOPLIFTING                          , 4700 N DIVISION ST      , 4/10/2019 , P3,
C, THEFT 3D CITY SHOPLIFTING                          , 9200 N COLTON ST        , 4/11/2019 , P4,
C, THEFT 3D FROM BUILDING                             , 800 E PROVIDENCE AVE    , 4/9/2019  , P3,
C, THEFT 3D FROM BUILDING                             , 6000 N ADDISON ST       , 4/11/2019 , P3,
C, THEFT 3D FROM BUILDING                             , 700 E NEBRASKA AVE      , 4/13/2019 , P3,
C, THEFT 3D FROM MOTOR VEHICLE                        , 500 E EVERETT AVE       , 4/7/2019  , P3,
C, THEFT 3D FROM MOTOR VEHICLE                        , 4700 N DIVISION ST      , 4/7/2019  , P3,
C, THEFT 3D FROM MOTOR VEHICLE                        , 1100 E COURTLAND AVE    , 4/8/2019  , P3,
A, THEFT 3D FROM MOTOR VEHICLE                        , 6400 N PITTSBURG ST     , 4/8/2019  , P3,
C, THEFT 3D FROM MOTOR VEHICLE                        , 8700 N HILL N DALE ST   , 4/8/2019  , P3,
A, THEFT 3D FROM MOTOR VEHICLE                        , 7100 N STANDARD ST      , 4/8/2019  , P3,
C, THEFT 3D FROM MOTOR VEHICLE                        , 0 E PROVIDENCE AVE      , 4/9/2019  , P3,
A, THEFT 3D FROM MOTOR VEHICLE                        , 1000 E COZZA DR         , 4/11/2019 , P3,
C, THEFT 3D FROM MOTOR VEHICLE                        , 8400 N NEVADA ST        , 4/12/2019 , P3,
C, THEFT 3D FROM MOTOR VEHICLE                        , 200 E LINCOLN RD        , 4/13/2019 , P3,
C, THEFT 3D FROM MOTOR VEHICLE                        , 1000 E NEBRASKA AVE     , 4/13/2019 , P3,
C, THEFT 3D SHOPLIFTING                               , 4700 N DIVISION ST      , 4/7/2019  , P3,
C, THEFT 3D SHOPLIFTING                               , 4700 N DIVISION ST      , 4/7/2019  , P3,
C, THEFT 3D SHOPLIFTING                               , 9200 N COLTON ST        , 4/7/2019  , P4,
C, THEFT 3D SHOPLIFTING                               , 10100 N NEWPORT HWY     , 4/7/2019  , P3,
C, THEFT 3D SHOPLIFTING                               , 4700 N DIVISION ST      , 4/9/2019  , P3,
C, THEFT 3D SHOPLIFTING                               , 9400 N DIVISION ST      , 4/10/2019 , P3,
A, THEFT 3D SHOPLIFTING                               , 9200 N NEVADA ST        , 4/10/2019 , P3,
C, THEFT 3D SHOPLIFTING                               , 7900 N DIVISION ST      , 4/11/2019 , P3,
C, THEFT 3D SHOPLIFTING                               , 5800 N DIVISION ST      , 4/11/2019 , P3,
C, THEFT 3D SHOPLIFTING                               , 4700 N DIVISION ST      , 4/11/2019 , P3,
C, THEFT 3D SHOPLIFTING                               , 9700 N NEWPORT HWY      , 4/12/2019 , P3,
C, THEFT 3D SHOPLIFTING                               , 5800 N DIVISION ST      , 4/12/2019 , P3,
C, THEFT 3D SHOPLIFTING                               , 4700 N DIVISION ST      , 4/13/2019 , P3,
C, THEFT 3D SHOPLIFTING                               , 4700 N DIVISION ST      , 4/13/2019 , P3,
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES             , 6400 N PITTSBURG ST     , 4/8/2019  , P3,
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES             , 8400 N NEVADA ST        , 4/9/2019  , P3,
C, THEFT 3D VEHICLE PARTS AND ACCESSORIES             , 1000 E NEBRASKA AVE     , 4/13/2019 , P3,
C, THEFT OF A FIREARM FROM MOTOR VEHICLE              , 0 E PROVIDENCE AVE      , 4/9/2019  , P3,
C, THEFT OF MOTOR VEHICLE                             , 0 W HOUSTON AVE         , 4/7/2019  , P1,
A, THEFT OF MOTOR VEHICLE                             , 4700 N DIVISION ST      , 4/7/2019  , P3,
C, THEFT OF MOTOR VEHICLE                             , 500 E MAXINE AVE        , 4/9/2019  , P3,
C, THEFT OF MOTOR VEHICLE                             , 300 E WEDGEWOOD AVE     , 4/9/2019  , P2,
C, THEFT OF MOTOR VEHICLE                             , 300 E LACROSSE AVE      , 4/11/2019 , P4,
C, THEFT OF MOTOR VEHICLE                             , 6600 N ADDISON ST       , 4/13/2019 , P3,
C, THEFT 3D FROM BUILDING                             , 1700 E FRANCIS AVE      , 4/13/2019 , P3,
C, THEFT 3D FROM BUILDING                             , 1700 E FRANCIS AVE      , 4/13/2019 , P3,
A, RESIDENTIAL BURGLARY                               , 2700 E HOFFMAN AVE      , 4/11/2019 , P4,
C, RESIDENTIAL BURGLARY                               , 2100 E UPRIVER DR       , 4/12/2019 , P4,
C, THEFT 2D ALL OTHER                                 , 3900 N MARKET ST        , 4/13/2019 , P2,
C, THEFT 2D FROM MOTOR VEHICLE                        , 1900 E ILLINOIS AVE     , 4/8/2019  , P4,
C, THEFT 2D FROM MOTOR VEHICLE                        , 2900 N LACEY ST         , 4/9/2019  , P2,
C, THEFT 3D ALL OTHER                                 , 3900 N MARKET ST        , 4/10/2019 , P4,
C, THEFT 3D ALL OTHER                                 , 2800 E WELLESLEY AVE    , 4/13/2019 , P4,
C, THEFT 3D ALL OTHER                                 , 3400 N CRESTLINE ST     , 4/13/2019 , P4,
C, THEFT 3D FROM BUILDING                             , 3000 E LIBERTY AVE      , 4/13/2019 , P2,
C, THEFT 3D FROM MOTOR VEHICLE                        , 1800 E LIBERTY AVE      , 4/7/2019  , P4,
C, THEFT 3D FROM MOTOR VEHICLE                        , 2900 N LACEY ST         , 4/10/2019 , P4,
C, THEFT 3D FROM MOTOR VEHICLE                        , 2800 N LACEY ST         , 4/11/2019 , P4,
C, THEFT 3D SHOPLIFTING                               , 3900 N MARKET ST        , 4/10/2019 , P4,
C, THEFT OF MOTOR VEHICLE                             , 1600 E GORDON AVE       , 4/11/2019 , P4,
C, THEFT OF MOTOR VEHICLE                             , 4100 N REGAL ST         , 4/11/2019 , P4,
C, BURGLARY 2D GARAGE                                 , 4100 E PRINCETON AVE    , 4/12/2019 , P4,
C, THEFT 3D CITY FROM MOTOR VEHICLE                   , 5000 N CRESTLINE ST     , 4/7/2019  , P4,
C, THEFT 3D FROM BUILDING                             , 3000 E NEBRASKA AVE     , 4/12/2019 , P4,
C, THEFT 3D SHOPLIFTING                               , 6100 N MYRTLE ST        , 4/12/2019 , P4,
A, THEFT OF MOTOR VEHICLE                             , 2500 E QUEEN AVE        , 4/8/2019  , P4,
C, ASSAULT OF A CHILD 3D WEAPON OR NEGLIGENT INJURY   , 600 E FAIRVIEW AVE      , 4/7/2019  , P4,
